Roll Number; 0
Recipe Name; FP 4548_520 GSM
Start Time; 2018-03-12; 10:09:23
File Name; D:\Mahlo\TR\180312100923FP 4548_520 GSM0_XMF2.txt

2133.5; 10:09:36; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.241084; 1.245339; 1.286989; 1.324093; 1.350185; 1.372264; 1.393208; 1.413945; 1.433105; 1.454522; 1.482934; 1.511256; 1.535778; 1.560129; 1.587955; 1.615584; 1.632207; 1.630454; 1.628782; 1.627636; 1.626799; 1.626231; 1.625731; 1.625003; 1.624458; 1.624077; 1.623583; 1.623247; 1.622908; 1.622500; 1.622407; 1.622410; 1.622262; 1.621814; 1.620905; 1.619468; 1.617733; 1.616081; 1.614820; 1.613570; 1.612124; 1.610877; 1.610159; 1.609747; 1.609377; 1.609087; 1.608973; 1.609109; 1.609928; 1.611537; 1.613628; 1.615437; 1.617409; 1.620057; 1.622669; 1.625041; 1.627268; 1.629698; 1.631615; 1.632916; 1.634246; 1.635527; 1.636479; 1.636884; 1.636807; 1.636199; 1.635025; 1.633602; 1.631941; 1.629965; 1.627879; 1.626283; 1.624992; 1.623765; 1.622908; 1.622340; 1.621885; 1.621589; 1.621671; 1.622322; 1.623879; 1.625965; 1.628417; 1.630771; 1.632873; 1.635918; 1.638765; 1.640847; 1.642488; 1.643915; 1.645480; 1.647025; 1.648455; 1.650061; 1.651453; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2140.1; 10:10:19; (); (); (); (); (); (); (); (); (); (); 1.611164; 1.612578; 1.614551; 1.616541; 1.618437; 1.620215; 1.622116; 1.623705; 1.625852; 1.628518; 1.631006; 1.633392; 1.635553; 1.637663; 1.640075; 1.642572; 1.644138; 1.644848; 1.645117; 1.644935; 1.644284; 1.643392; 1.642293; 1.640811; 1.639014; 1.637258; 1.635671; 1.634279; 1.632901; 1.631251; 1.629240; 1.627012; 1.625180; 1.623414; 1.621785; 1.620460; 1.619177; 1.618057; 1.617166; 1.616288; 1.615192; 1.614014; 1.613063; 1.612368; 1.611880; 1.611883; 1.612195; 1.612657; 1.613507; 1.614468; 1.615253; 1.615996; 1.616726; 1.617706; 1.618680; 1.619748; 1.621036; 1.622247; 1.622828; 1.623085; 1.623208; 1.623387; 1.623336; 1.623025; 1.622521; 1.622041; 1.621940; 1.622130; 1.622715; 1.623680; 1.624658; 1.625955; 1.627596; 1.629440; 1.631079; 1.632620; 1.634386; 1.636151; 1.638109; 1.640615; 1.643040; 1.645083; 1.646581; 1.647709; 1.648837; 1.649663; 1.650379; 1.651008; 1.651619; 1.652516; 1.653731; 1.654877; 1.655834; 1.656419; 1.656884; 1.657491; 1.658006; 1.658558; 1.659197; 1.659889; 1.660979; 1.662453; 1.663784; 1.664734; 1.665448; 1.665970; 1.666502; 1.667235; 1.668158; 1.668733; 1.669356; 1.670151; 1.670934; 1.671799; 1.672501; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2141.3; 10:10:28; (); (); (); (); (); (); (); (); (); 1.610395; 1.611817; 1.614064; 1.615950; 1.617417; 1.618540; 1.619439; 1.620606; 1.622139; 1.623608; 1.624984; 1.626333; 1.627749; 1.628770; 1.629557; 1.630288; 1.630681; 1.630862; 1.631143; 1.631532; 1.631922; 1.632394; 1.633153; 1.634210; 1.635118; 1.635898; 1.636670; 1.637399; 1.638255; 1.639326; 1.640409; 1.641238; 1.641807; 1.642134; 1.642312; 1.642489; 1.642590; 1.642487; 1.642020; 1.641431; 1.640838; 1.639970; 1.639014; 1.637898; 1.636511; 1.635254; 1.634042; 1.632893; 1.632019; 1.631158; 1.630205; 1.629481; 1.629172; 1.629359; 1.629836; 1.630602; 1.631512; 1.632494; 1.633544; 1.634571; 1.635842; 1.637435; 1.639096; 1.640501; 1.641783; 1.642935; 1.643829; 1.644383; 1.644649; 1.644797; 1.644947; 1.645146; 1.645246; 1.645301; 1.645373; 1.645527; 1.645726; 1.646109; 1.646754; 1.647605; 1.648769; 1.650283; 1.651827; 1.653036; 1.654032; 1.655138; 1.656099; 1.657234; 1.658942; 1.660606; 1.662038; 1.663241; 1.664090; 1.664640; 1.664915; 1.664903; 1.665054; 1.665460; 1.666241; 1.667596; 1.668804; 1.668998; 1.668859; 1.668415; 1.667815; 1.667359; 1.667159; 1.667151; 1.667151; 1.667295; 1.667482; 1.667495; 1.667145; 1.666335; 1.664990; 1.663861; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2142.5; 10:10:36; (); (); (); (); (); (); (); (); (); 1.599777; 1.600644; 1.604147; 1.607313; 1.609857; 1.611911; 1.613831; 1.615388; 1.617171; 1.619345; 1.621856; 1.624123; 1.626395; 1.628720; 1.630724; 1.632560; 1.633511; 1.632705; 1.631900; 1.631256; 1.630674; 1.630358; 1.630210; 1.630182; 1.630302; 1.630380; 1.630372; 1.630537; 1.631412; 1.632731; 1.634364; 1.636235; 1.638132; 1.639830; 1.641477; 1.643170; 1.644465; 1.645613; 1.646846; 1.647856; 1.649042; 1.650583; 1.652206; 1.653590; 1.654633; 1.655733; 1.657113; 1.658263; 1.659346; 1.660762; 1.662454; 1.664077; 1.665764; 1.667404; 1.669135; 1.670576; 1.671595; 1.672396; 1.672776; 1.672835; 1.672624; 1.672502; 1.672693; 1.673103; 1.673461; 1.673776; 1.674053; 1.674397; 1.674909; 1.675602; 1.676521; 1.677652; 1.678979; 1.680528; 1.682431; 1.684525; 1.686191; 1.687351; 1.688364; 1.689483; 1.690574; 1.691598; 1.692580; 1.693473; 1.693895; 1.693868; 1.693733; 1.693518; 1.693059; 1.692380; 1.691562; 1.690685; 1.689572; 1.688065; 1.686242; 1.684492; 1.682702; 1.680796; 1.679246; 1.678035; 1.677161; 1.676469; 1.675873; 1.675390; 1.675046; 1.675109; 1.675639; 1.676646; 1.678118; 1.679419; 1.680217; 1.681076; 1.681921; 1.682877; 1.683725; 1.684760; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2143.7; 10:10:45; (); (); (); (); (); (); (); (); (); 1.641825; 1.641035; 1.640272; 1.639853; 1.639632; 1.639643; 1.639848; 1.640269; 1.640648; 1.640895; 1.641154; 1.641703; 1.642514; 1.643651; 1.645318; 1.647109; 1.648889; 1.650940; 1.652911; 1.654387; 1.655477; 1.656219; 1.656623; 1.656814; 1.656849; 1.656785; 1.656439; 1.655786; 1.655014; 1.654042; 1.652900; 1.651617; 1.650294; 1.649238; 1.648451; 1.647950; 1.647620; 1.647296; 1.647009; 1.646766; 1.646479; 1.646050; 1.645637; 1.645089; 1.644124; 1.642756; 1.641464; 1.640182; 1.638907; 1.637305; 1.635592; 1.634147; 1.632925; 1.631686; 1.630551; 1.629635; 1.628700; 1.628061; 1.627875; 1.628460; 1.629537; 1.630826; 1.632421; 1.633935; 1.635391; 1.636776; 1.638015; 1.639429; 1.641157; 1.642659; 1.644098; 1.645836; 1.647379; 1.648802; 1.650133; 1.650921; 1.651171; 1.650932; 1.650671; 1.650495; 1.650100; 1.649503; 1.648572; 1.647431; 1.646096; 1.644552; 1.643205; 1.641874; 1.640196; 1.638685; 1.637334; 1.636375; 1.635843; 1.635468; 1.635204; 1.635206; 1.635409; 1.635719; 1.636284; 1.637308; 1.639512; 1.642811; 1.646067; 1.649353; 1.652635; 1.656328; 1.659858; 1.663313; 1.666155; 1.668064; 1.670288; 1.672525; 1.675165; 1.678638; 1.682078; 1.684281; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2144.9; 10:10:53; (); (); (); (); (); (); (); (); (); 1.648428; 1.648149; 1.644752; 1.641706; 1.639344; 1.637296; 1.635973; 1.634928; 1.633431; 1.631509; 1.629630; 1.627552; 1.625784; 1.624173; 1.622379; 1.620561; 1.619134; 1.619584; 1.620227; 1.620724; 1.620949; 1.620788; 1.620394; 1.620104; 1.619832; 1.619441; 1.619056; 1.618460; 1.617315; 1.616101; 1.614995; 1.614382; 1.613920; 1.613346; 1.612754; 1.612147; 1.611779; 1.611707; 1.611745; 1.611893; 1.612053; 1.612187; 1.612634; 1.613458; 1.614344; 1.615075; 1.615375; 1.615379; 1.615455; 1.615648; 1.615943; 1.616205; 1.616229; 1.616055; 1.615701; 1.615256; 1.614723; 1.613957; 1.613318; 1.612655; 1.611836; 1.611445; 1.611626; 1.612016; 1.612652; 1.613336; 1.614145; 1.615432; 1.616735; 1.618179; 1.619923; 1.621956; 1.624446; 1.626928; 1.629054; 1.630993; 1.632613; 1.633515; 1.634061; 1.634455; 1.634881; 1.635100; 1.635238; 1.635407; 1.635470; 1.635425; 1.634972; 1.634289; 1.633535; 1.632999; 1.632828; 1.632917; 1.633064; 1.633111; 1.632739; 1.632036; 1.631512; 1.630971; 1.630198; 1.629323; 1.628477; 1.627784; 1.627275; 1.626987; 1.626953; 1.627149; 1.627873; 1.628919; 1.630487; 1.632607; 1.633525; 1.634267; 1.635126; 1.636402; 1.638098; 1.640591; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2146.1; 10:11:02; (); (); (); (); (); (); (); (); (); 1.648428; 1.604233; 1.605345; 1.606457; 1.607268; 1.607947; 1.608435; 1.608773; 1.609399; 1.609843; 1.610247; 1.610608; 1.610998; 1.611538; 1.611920; 1.612169; 1.612288; 1.612160; 1.611968; 1.611831; 1.612019; 1.612739; 1.613791; 1.615146; 1.617077; 1.618792; 1.620454; 1.622392; 1.624496; 1.626755; 1.629282; 1.632248; 1.634802; 1.636915; 1.639266; 1.641666; 1.643839; 1.645526; 1.646991; 1.648425; 1.649791; 1.650951; 1.652115; 1.653403; 1.654265; 1.654958; 1.655776; 1.656725; 1.657597; 1.658549; 1.659556; 1.660550; 1.661926; 1.663594; 1.665067; 1.666594; 1.668547; 1.670286; 1.671907; 1.673532; 1.674960; 1.676290; 1.677441; 1.678597; 1.679927; 1.681272; 1.682452; 1.683185; 1.683381; 1.683513; 1.683442; 1.682982; 1.682437; 1.681867; 1.681443; 1.681047; 1.680648; 1.680196; 1.679699; 1.679077; 1.678174; 1.677329; 1.676799; 1.676467; 1.676141; 1.675844; 1.675540; 1.675317; 1.675303; 1.675498; 1.675934; 1.676529; 1.677020; 1.677292; 1.677605; 1.678001; 1.678357; 1.678639; 1.679009; 1.679789; 1.680698; 1.680749; 1.680659; 1.680304; 1.679713; 1.678945; 1.678026; 1.677314; 1.676625; 1.676193; 1.675917; 1.675547; 1.675047; 1.674243; 1.672824; 1.671529; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2147.3; 10:11:10; (); (); (); (); (); (); (); (); (); (); 1.592198; 1.595615; 1.599294; 1.602358; 1.605180; 1.607502; 1.609193; 1.611102; 1.613873; 1.617072; 1.619898; 1.622549; 1.625221; 1.627602; 1.629770; 1.631209; 1.630307; 1.629018; 1.627607; 1.626361; 1.625498; 1.624688; 1.623935; 1.623137; 1.622213; 1.621462; 1.621416; 1.622019; 1.623247; 1.624941; 1.626804; 1.629016; 1.631793; 1.634319; 1.636855; 1.639251; 1.641431; 1.643763; 1.645795; 1.647917; 1.650253; 1.652143; 1.653334; 1.654062; 1.654563; 1.654666; 1.654421; 1.653951; 1.653176; 1.652157; 1.651270; 1.650501; 1.649791; 1.649096; 1.648434; 1.647809; 1.647359; 1.647555; 1.648121; 1.649002; 1.650465; 1.652198; 1.653698; 1.655210; 1.656986; 1.658493; 1.659969; 1.661621; 1.663167; 1.664973; 1.667262; 1.669313; 1.670680; 1.671806; 1.672746; 1.673278; 1.673712; 1.674457; 1.675634; 1.677061; 1.678522; 1.680079; 1.681819; 1.683231; 1.684038; 1.684504; 1.684899; 1.685472; 1.686366; 1.687390; 1.688684; 1.690169; 1.691373; 1.692198; 1.692877; 1.693453; 1.693837; 1.694140; 1.694516; 1.695023; 1.695716; 1.696470; 1.697016; 1.697394; 1.697570; 1.697553; 1.697472; 1.697403; 1.697307; 1.697233; 1.697170; 1.697168; 1.697167; 1.697168; 1.697206; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2148.6; 10:11:19; (); (); (); (); (); (); (); (); (); 1.642807; 1.642940; 1.643049; 1.643134; 1.643269; 1.643342; 1.643328; 1.643254; 1.643126; 1.642976; 1.642784; 1.642384; 1.641701; 1.640929; 1.640309; 1.639796; 1.639352; 1.638778; 1.638064; 1.637446; 1.636954; 1.636678; 1.636501; 1.636356; 1.636192; 1.636143; 1.636440; 1.637121; 1.637860; 1.638453; 1.639009; 1.639699; 1.640732; 1.641854; 1.642919; 1.643955; 1.644892; 1.645974; 1.647152; 1.648453; 1.649653; 1.650409; 1.650880; 1.651146; 1.651253; 1.651117; 1.650573; 1.649488; 1.648037; 1.646607; 1.645073; 1.643249; 1.641611; 1.639900; 1.638095; 1.636829; 1.635749; 1.634822; 1.634420; 1.634431; 1.634782; 1.635533; 1.636713; 1.638553; 1.640853; 1.642974; 1.644970; 1.647133; 1.648908; 1.650738; 1.652483; 1.653932; 1.655229; 1.655971; 1.656597; 1.657108; 1.657274; 1.657215; 1.656928; 1.656582; 1.656557; 1.656934; 1.657429; 1.658140; 1.659035; 1.659787; 1.661011; 1.662644; 1.664400; 1.666481; 1.668789; 1.671035; 1.673347; 1.675481; 1.677235; 1.679360; 1.681362; 1.682802; 1.684128; 1.685111; 1.685635; 1.687049; 1.688397; 1.689547; 1.690851; 1.691846; 1.692549; 1.693228; 1.694023; 1.694626; 1.695104; 1.695701; 1.696294; 1.697132; 1.698897; 1.700526; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2149.8; 10:11:28; (); (); (); (); (); (); (); (); (); 1.641285; 1.641219; 1.640435; 1.639835; 1.639477; 1.639238; 1.639169; 1.639215; 1.639278; 1.639303; 1.639365; 1.639451; 1.639492; 1.639507; 1.639605; 1.639866; 1.640260; 1.641116; 1.641766; 1.642157; 1.642445; 1.642585; 1.642361; 1.641783; 1.641114; 1.640329; 1.639484; 1.638905; 1.638353; 1.637558; 1.636483; 1.635304; 1.634571; 1.634058; 1.633461; 1.632770; 1.632103; 1.631914; 1.632061; 1.632381; 1.632813; 1.633047; 1.633064; 1.633129; 1.633315; 1.633590; 1.633709; 1.633555; 1.633339; 1.633373; 1.633794; 1.634213; 1.634402; 1.634487; 1.634437; 1.634295; 1.634160; 1.634174; 1.634226; 1.634333; 1.634609; 1.635161; 1.635936; 1.636607; 1.637333; 1.637935; 1.638626; 1.639458; 1.640459; 1.641716; 1.642858; 1.644336; 1.646020; 1.647280; 1.648292; 1.649190; 1.649953; 1.650787; 1.651441; 1.651995; 1.652521; 1.652671; 1.652732; 1.652941; 1.652933; 1.652700; 1.652535; 1.652693; 1.653162; 1.653725; 1.654186; 1.654705; 1.655328; 1.655911; 1.656532; 1.657356; 1.658385; 1.659219; 1.659822; 1.660739; 1.662199; 1.663539; 1.664736; 1.665950; 1.667025; 1.668273; 1.669807; 1.671499; 1.673069; 1.674655; 1.675910; 1.676753; 1.677987; 1.679383; 1.680555; 1.681771; 1.682534; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2151.0; 10:11:36; (); (); (); (); (); (); (); (); (); 1.634463; 1.634112; 1.633578; 1.633110; 1.632479; 1.631740; 1.631079; 1.630487; 1.629806; 1.628941; 1.628108; 1.627324; 1.626818; 1.626531; 1.626280; 1.626286; 1.626745; 1.627556; 1.628790; 1.630262; 1.632037; 1.634282; 1.636617; 1.639026; 1.640975; 1.642771; 1.644786; 1.646389; 1.647992; 1.649624; 1.651037; 1.652017; 1.652300; 1.652194; 1.651767; 1.651031; 1.650150; 1.649282; 1.648388; 1.647493; 1.646553; 1.645688; 1.644867; 1.643879; 1.643023; 1.642594; 1.642705; 1.643400; 1.644267; 1.645338; 1.646831; 1.648300; 1.649868; 1.651580; 1.653081; 1.654871; 1.657318; 1.659578; 1.661776; 1.663898; 1.665292; 1.666218; 1.666793; 1.667123; 1.667178; 1.666792; 1.666167; 1.665649; 1.665269; 1.664847; 1.664024; 1.662577; 1.660901; 1.659452; 1.658295; 1.657333; 1.656816; 1.656658; 1.656778; 1.657329; 1.658651; 1.660308; 1.661740; 1.663212; 1.665041; 1.667288; 1.669590; 1.672181; 1.675558; 1.678643; 1.681669; 1.685010; 1.688134; 1.690535; 1.692624; 1.694402; 1.695516; 1.696476; 1.697539; 1.698511; 1.699143; 1.699349; 1.699292; 1.698879; 1.698371; 1.697836; 1.697153; 1.696463; 1.695931; 1.695489; 1.695212; 1.695121; 1.695028; 1.694796; 1.694378; 1.694049; 1.694049; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
